ANIMI,AKOOD,TYYP,ONIMI,OKOOD,MNIMI,MKOOD,AREA
Aa küla,1004,8,Lüganuse vald,0438,Ida-Viru maakond,0044,29538520.12938567
Aabra küla,1005,8,Rõuge vald,0697,Võru maakond,0086,1127436.0519002462
Aadami küla,1010,8,Haaslava vald,0185,Tartu maakond,0078,11616766.28309988
Aadma küla,1013,8,Käina vald,0368,Hiiu maakond,0039,4891831.055600269
Aakaru küla,1016,8,Kambja vald,0282,Tartu maakond,0078,4687467.944550554
Aakre küla,1018,8,Puka vald,0608,Valga maakond,0082,12225972.11159999
Aamse küla,1017,8,Ridala vald,0674,Lääne maakond,0057,1168589.486300269
Aandu küla,1021,8,Kohila vald,0317,Rapla maakond,0070,5184790.484850546
Aardla küla,1024,8,Haaslava vald,0185,Tartu maakond,0078,6417380.727150292
Aardlapalu küla,1022,8,Haaslava vald,0185,Tartu maakond,0078,1520934.8450000023
Aarna küla,1027,8,Põlva vald,0621,Põlva maakond,0065,24340706.43470009
Aasa küla,1030,8,Halinga vald,0188,Pärnu maakond,0067,6105209.439249658
Aaspere küla,1032,8,Haljala vald,0190,Lääne-Viru maakond,0059,7321642.699849439
Aasu küla,1035,8,Haljala vald,0190,Lääne-Viru maakond,0059,4768336.410949441
Aasukalda küla,1037,8,Viru-Nigula vald,0902,Lääne-Viru maakond,0059,3743962.3405005857
Aasumetsa küla,1040,8,Vihula vald,0887,Lääne-Viru maakond,0059,1873292.5393999792
Aasuvälja küla,1042,8,Väätsa vald,0937,Järva maakond,0051,13139445.971849406
Aasuvälja küla,1043,8,Rägavere vald,0702,Lääne-Viru maakond,0059,3497002.1600501523
Aavere küla,1046,8,Anija vald,0140,Harju maakond,0037,5777524.66749967
Aavere küla,1047,8,Väike-Maarja vald,0926,Lääne-Viru maakond,0059,5051658.992250227
Aavere küla,1048,8,Tamsalu vald,0786,Lääne-Viru maakond,0059,11295654.29699963
Aaviku küla,1051,8,Haljala vald,0190,Lääne-Viru maakond,0059,4534212.1736000525
Aaviku küla,1052,8,Laimjala vald,0386,Saare maakond,0074,981598.6873501241
Aaviku küla,1050,8,Rae vald,0653,Harju maakond,0037,5183285.544199902
Abaja küla,1055,8,Koeru vald,0314,Järva maakond,0051,7345968.309999987
Abaja küla,1054,8,Kihelkonna vald,0301,Saare maakond,0074,2295187.2586181895
Abissaare küla,1058,8,Valgjärve vald,0856,Põlva maakond,0065,9304606.846399466
