OKOOD,ONIMI,MEHED,NAISED,KOKKU
0112,Aegviidu vald,349,367,716
0140,Anija vald,"2,773","2,851","5,624"
0198,Harku vald,"6,968","6,998","13,966"
0245,Jõelähtme vald,"3,273","3,065","6,338"
0295,Keila vald,"2,422","2,484","4,906"
0296,Keila linn,"4,599","5,262","9,861"
0297,Kernu vald,"1,102",979,"2,081"
0304,Kiili vald,"2,615","2,508","5,123"
0338,Kose vald,"3,557","3,626","7,183"
0353,Kuusalu vald,"3,341","3,249","6,590"
0424,Loksa linn,"1,356","1,382","2,738"
0446,Maardu linn,"7,492","8,104","15,596"
0518,Nissi vald,"1,402","1,480","2,882"
0562,Padise vald,914,826,"1,740"
0580,Paldiski linn,"1,756","2,050","3,806"
0651,Raasiku vald,"2,547","2,528","5,075"
0653,Rae vald,"8,524","8,432","16,956"
0718,Saku vald,"4,797","4,794","9,591"
0727,Saue vald,"5,389","5,411","10,800"
0728,Saue linn,"2,815","2,995","5,810"
0784,Tallinn,"200,882","242,585","443,467"
0868,Vasalemma vald,"1,213","1,285","2,498"
0890,Viimsi vald,"9,391","9,651","19,042"
0175,Emmaste vald,677,564,"1,241"
0204,Hiiu vald,"2,252","2,371","4,623"
0368,Käina vald,"1,082","1,014","2,096"
0639,Pühalepa vald,856,734,"1,590"
0122,Alajõe vald,347,235,582
0154,Aseri vald,781,826,"1,607"
0164,Avinurme vald,621,650,"1,271"
0224,Iisaku vald,626,577,"1,203"
0229,Illuka vald,479,593,"1,072"
0251,Jõhvi vald,"5,422","6,404","11,826"
0309,Kiviõli linn,"2,440","2,907","5,347"
0320,Kohtla vald,780,784,"1,564"
0322,Kohtla-Järve linn,"16,353","19,753","36,106"
0323,Kohtla-Nõmme vald,491,504,995
0420,Lohusuu vald,370,329,699
0438,Lüganuse vald,"1,449","1,496","2,945"
0498,Mäetaguse vald,852,894,"1,746"
0511,Narva linn,"26,994","32,466","59,460"
0513,Narva-Jõesuu linn,"1,392","1,478","2,870"
0735,Sillamäe linn,"6,186","7,480","13,666"
0751,Sonda vald,447,416,863
0802,Toila vald,"1,119","1,171","2,290"
0815,Tudulinna vald,216,221,437
0851,Vaivara vald,"1,010",892,"1,902"
0248,Jõgeva vald,"2,191","2,209","4,400"
0249,Jõgeva linn,"2,393","2,912","5,305"
0485,Mustvee linn,642,677,"1,319"
0573,Pajusi vald,660,588,"1,248"
0576,Pala vald,565,524,"1,089"
0578,Palamuse vald,"1,064","1,039","2,103"
0611,Puurmani vald,744,767,"1,511"
0616,Põltsamaa vald,"1,877","1,792","3,669"
0617,Põltsamaa linn,"1,888","2,275","4,163"
0657,Kasepää vald,612,611,"1,223"
0713,Saare vald,607,526,"1,133"
0773,Tabivere vald,"1,153","1,087","2,240"
0810,Torma vald,985,979,"1,964"
0129,Albu vald,601,545,"1,146"
0134,Ambla vald,"1,011",985,"1,996"
0234,Imavere vald,442,443,885
0257,Järva-Jaani vald,772,770,"1,542"
0288,Kareda vald,311,288,599
0314,Koeru vald,"1,065","1,046","2,111"
0325,Koigi vald,497,449,946
0565,Paide vald,901,787,"1,688"
0566,Paide linn,"3,795","4,553","8,348"
0684,Roosna-Alliku vald,568,526,"1,094"
0835,Türi vald,"4,478","4,756","9,234"
0937,Väätsa vald,650,602,"1,252"
0183,Haapsalu linn,"4,579","5,657","10,236"
0195,Hanila vald,736,705,"1,441"
0342,Kullamaa vald,575,529,"1,104"
0411,Lihula vald,"1,135","1,127","2,262"
0436,Lääne-Nigula vald,"2,117","2,017","4,134"
0452,Martna vald,411,350,761
0520,Noarootsi vald,463,400,863
0531,Nõva vald,198,164,362
0674,Ridala vald,"1,691","1,669","3,360"
0907,Vormsi vald,256,169,425
0190,Haljala vald,"1,249","1,210","2,459"
0272,Kadrina vald,"2,533","2,530","5,063"
0345,Kunda linn,"1,453","1,672","3,125"
0381,Laekvere vald,759,730,"1,489"
0660,Rakke vald,829,797,"1,626"
0662,Rakvere vald,"1,073","1,033","2,106"
0663,Rakvere linn,"7,092","8,645","15,737"
0702,Rägavere vald,438,403,841
0770,Sõmeru vald,"1,709","1,768","3,477"
0786,Tamsalu vald,"1,823","1,946","3,769"
0790,Tapa vald,"3,638","3,974","7,612"
0887,Vihula vald,"1,051",879,"1,930"
0900,Vinni vald,"2,325","2,390","4,715"
0902,Viru-Nigula vald,703,605,"1,308"
0926,Väike-Maarja vald,"2,232","2,254","4,486"
0117,Ahja vald,557,466,"1,023"
0285,Kanepi vald,"1,286","1,179","2,465"
0354,Kõlleste vald,586,503,"1,089"
0385,Laheda vald,621,563,"1,184"
0465,Mikitamäe vald,530,455,985
0473,Mooste vald,752,700,"1,452"
0547,Orava vald,364,351,715
0621,Põlva vald,"4,574","4,974","9,548"
0707,Räpina vald,"2,299","2,396","4,695"
0856,Valgjärve vald,722,686,"1,408"
0872,Vastse-Kuuste vald,629,569,"1,198"
0879,Veriora vald,687,686,"1,373"
0934,Värska vald,712,659,"1,371"
0149,Are vald,657,626,"1,283"
0160,Audru vald,"2,909","2,903","5,812"
0188,Halinga vald,"1,406","1,460","2,866"
0213,Häädemeeste vald,"1,292","1,256","2,548"
0303,Kihnu vald,348,353,701
0334,Koonga vald,567,508,"1,075"
0568,Paikuse vald,"1,892","2,014","3,906"
0625,Pärnu linn,"18,246","22,456","40,702"
0710,Saarde vald,"1,920","1,988","3,908"
0730,Sauga vald,"2,168","2,069","4,237"
